centre,video_id,url,title,channel,published,duration_s,views,test_class,transcript,n_streets,n_turns,streets_found,traceable,flags
walkley,y4Cqqxcnh7c,https://youtube.com/watch?v=y4Cqqxcnh7c,"Ottawa Walkley - G drive test route - Passed test, May 2026. +Tips #Ottawa #walkleydrivetestcentre ",Gotshi,2026-06-15,1197,1125,unknown,none,1,0,walkley,,CLASS?
walkley,TWwTJuabJdE,https://youtube.com/watch?v=TWwTJuabJdE,OTTAWA WALKLEY FULL G DRIVE TEST PASSED!! (preciousfamily),Preciousfamily,2023-10-21,1087,9207,G,auto,1,0,walkley,,
walkley,Z062s3Un5J8,https://youtube.com/watch?v=Z062s3Un5J8,Ottawa Walkley G Drive Test route1 Demo: Why I failed 3 times,丁丁,2026-05-31,2033,574,unknown,none,1,0,walkley,,CLASS?
walkley,vNzR2IcsqSc,https://youtube.com/watch?v=vNzR2IcsqSc,Ottawa Walkley G Drive test route2 Demo: Why I failed 3 times,丁丁,2026-05-31,1403,250,unknown,none,1,0,walkley,,CLASS?
walkley,gLgP6-WCcjQ,https://youtube.com/watch?v=gLgP6-WCcjQ,"Ottawa drive test G Walkley, Road test pratique G Walkley Ottawa",Y B R 🇭🇹 ,2025-03-13,839,1161,unknown,none,1,0,walkley,,CLASS?
walkley,h9-2wZRZzrw,https://youtube.com/watch?v=h9-2wZRZzrw,🇨🇦Ottawa Walkley G Drive Test. Route Google Map. AirportPkway 1. Dashcam.渥太华沃克利路考.,小学鸡穷搬加🍁Lully,2024-07-28,1504,4238,G,none,1,0,walkley,,
walkley,iSiIHGmr7Ps,https://youtube.com/watch?v=iSiIHGmr7Ps,Ottawa Walkley G Drive Test. Route Google Map. AirportPkway 2. Dashcam.渥太华沃克利路考,小学鸡穷搬加🍁Lully,2024-08-06,1336,1731,G,none,1,0,walkley,,
walkley,3UQmHRYNNGQ,https://youtube.com/watch?v=3UQmHRYNNGQ,Walkley driving test center is Empty after 6Pm😱#walkleydriving#walkley#ottawadriving#drivingtest,Immersive Tour - iCherry,2023-10-02,10,6824,G,none,1,0,walkley,,SHORT
walkley,DLlLFBNJLhw,https://youtube.com/watch?v=DLlLFBNJLhw,🇨🇦Ottawa Walkley G Drive Mock  Test. Route Google Map. Hawthorne Rd. Right turn. 1. Dashcam.渥太华沃克利路考,小学鸡穷搬加🍁Lully,2024-07-29,1372,2679,G,none,1,0,walkley,,
walkley,7fjROr3OYDo,https://youtube.com/watch?v=7fjROr3OYDo,加拿大驾照路考模拟 Walkley G Road Test 全网唯一天津话解说版 （路线1）,张嘴就来,2024-04-23,1077,2610,G,none,1,0,walkley,,
